Ensembl Gene ID	Ensembl Transcript ID	dN	dS
ENSG00000197468	ENST00000508957		
ENSG00000231049	ENST00000435337		
ENSG00000276385	ENST00000618935		
ENSG00000275151	ENST00000614589		
ENSG00000228913	ENST00000432676		
ENSG00000231948	ENST00000449391		
ENSG00000280296	ENST00000624531		
ENSG00000231510	ENST00000443270		
ENSG00000275008	ENST00000617404		
ENSG00000229336	ENST00000282964		
ENSG00000261641	ENST00000566287		
ENSG00000237295	ENST00000457180		
ENSG00000279302	ENST00000623825		
ENSG00000180383	ENST00000317676	0.21020	0.40730
ENSG00000180383	ENST00000481595	0.21020	0.40730
ENSG00000229093	ENST00000429046		
ENSG00000277657	ENST00000611193		
ENSG00000270100	ENST00000602445		
ENSG00000277894	ENST00000613274		
ENSG00000272894	ENST00000609497		
ENSG00000272894	ENST00000609307		
ENSG00000272894	ENST00000608807		
ENSG00000244471	ENST00000418237		
ENSG00000244471	ENST00000446689		
ENSG00000162444	ENST00000315901	0.05080	0.64520
ENSG00000162444	ENST00000294435	0.05080	0.64520
ENSG00000248553	ENST00000514607		
ENSG00000165583	ENST00000376923	0.69590	1.19200
ENSG00000165583	ENST00000311798	0.69590	1.19200
ENSG00000165583	ENST00000403001	0.69590	1.19200
ENSG00000165583	ENST00000347757	0.69590	1.19200
ENSG00000165583	ENST00000613884	0.69590	1.19200
ENSG00000165583	ENST00000376923	0.60640	0.36270
ENSG00000165583	ENST00000311798	0.60640	0.36270
ENSG00000165583	ENST00000403001	0.60640	0.36270
ENSG00000165583	ENST00000347757	0.60640	0.36270
ENSG00000165583	ENST00000613884	0.60640	0.36270
ENSG00000165583	ENST00000376923	0.73640	1.13420
ENSG00000165583	ENST00000311798	0.73640	1.13420
ENSG00000165583	ENST00000403001	0.73640	1.13420
ENSG00000165583	ENST00000347757	0.73640	1.13420
ENSG00000165583	ENST00000613884	0.73640	1.13420
ENSG00000165583	ENST00000376923	0.60860	1.60970
ENSG00000165583	ENST00000311798	0.60860	1.60970
ENSG00000165583	ENST00000403001	0.60860	1.60970
ENSG00000165583	ENST00000347757	0.60860	1.60970
ENSG00000165583	ENST00000613884	0.60860	1.60970
ENSG00000165583	ENST00000376923	0.64030	1.40580
ENSG00000165583	ENST00000311798	0.64030	1.40580
ENSG00000165583	ENST00000403001	0.64030	1.40580
ENSG00000165583	ENST00000347757	0.64030	1.40580
ENSG00000165583	ENST00000613884	0.64030	1.40580
ENSG00000165583	ENST00000376923	0.51110	1.69260
ENSG00000165583	ENST00000311798	0.51110	1.69260
ENSG00000165583	ENST00000403001	0.51110	1.69260
ENSG00000165583	ENST00000347757	0.51110	1.69260
ENSG00000165583	ENST00000613884	0.51110	1.69260
ENSG00000165583	ENST00000376923	0.67400	1.46210
ENSG00000165583	ENST00000311798	0.67400	1.46210
ENSG00000165583	ENST00000403001	0.67400	1.46210
ENSG00000165583	ENST00000347757	0.67400	1.46210
ENSG00000165583	ENST00000613884	0.67400	1.46210
ENSG00000165583	ENST00000376923	0.50540	1.08650
ENSG00000165583	ENST00000311798	0.50540	1.08650
ENSG00000165583	ENST00000403001	0.50540	1.08650
ENSG00000165583	ENST00000347757	0.50540	1.08650
ENSG00000165583	ENST00000613884	0.50540	1.08650
ENSG00000165583	ENST00000376923	0.76950	1.13560
ENSG00000165583	ENST00000311798	0.76950	1.13560
ENSG00000165583	ENST00000403001	0.76950	1.13560
ENSG00000165583	ENST00000347757	0.76950	1.13560
ENSG00000165583	ENST00000613884	0.76950	1.13560
ENSG00000165583	ENST00000376923	0.68180	1.39420
ENSG00000165583	ENST00000311798	0.68180	1.39420
ENSG00000165583	ENST00000403001	0.68180	1.39420
ENSG00000165583	ENST00000347757	0.68180	1.39420
ENSG00000165583	ENST00000613884	0.68180	1.39420
ENSG00000165583	ENST00000376923	0.67990	1.42440
